from,to,distance
671005502,671005501,0.030147799119300014
671005502,672127455,0.16512933696347143
717059915,12296836,0.09191928307996353
717059915,95458341,0.12469714226809407
717059915,672424047,0.11106718731101656
671005423,347962249,0.49364185361963914
671005423,672181293,0.24447788891445224
671005423,716689913,0.28166230052195784
671005423,12298599,0.46361169325507245
672181293,20006064,0.12942488863954132
672181293,671005423,0.24447788891445224
672181293,12298599,0.4619619066810432
12299048,276625905,0.06622420986949884
12299048,276625907,0.1137162000392589
12299048,276625909,0.11621941556744783
276625909,12299048,0.11621941556744783
276625909,105811779,0.10081806894407397
276625909,276625903,0.09502289911046713
276625905,12299048,0.06622420986949884
276625905,276625907,0.048749857660828594
276625905,670354683,0.025654851889541728
276625907,12299048,0.1137162000392589
276625907,276625905,0.048749857660828594
276625907,276625908,0.25181424292002114
276625907,440003893,0.04905196337894186
671005465,12300010,0.23258558151681283
671005465,671005466,0.07166366181600754
671005465,97826772,0.14644080752067934
12300010,671005465,0.23258558151681283
12300010,768038131,0.1630452676904033
768038131,671005464,0.11836080520826306
768038131,12300010,0.1630452676904033
768038131,139644907,0.5301965002760635
768038131,321078610,0.4100362373980978
12304032,480401512,0.08145474975977901
12304032,105811779,0.09357548722123507
12304032,761451373,0.07863872736902952
105811779,12304032,0.09357548722123507
105811779,480401512,0.015819716251140117
105811779,276625909,0.10081806894407397
105811779,276625903,0.011961892948414385
480401512,12304032,0.08145474975977901
480401512,105811779,0.015819716251140117
480401512,276625903,0.02555927396987119
761451373,12304032,0.07863872736902952
761451373,761451374,0.22531355672402478
139632136,108971273,0.8261912404107826
672181280,758955768,0.11312659868105396
672181280,87789115,0.4017806940692053
672181280,12304155,0.2633780867871492
672181280,12304141,0.10076907151044433
758955768,672181280,0.11312659868105396
758955768,321078620,0.17356473206211398
758955768,12304141,0.024085441860699518
12304141,672181280,0.10076907151044433
12304141,758955768,0.024085441860699518
12304141,742105558,0.48804470315980686
742105558,12304141,0.48804470315980686
742105558,139631887,0.7632514570599448
671005464,672181282,0.11568406543900397
671005464,139644907,0.5524780367808559
671005464,321078610,0.5250340746311514
671005464,768038131,0.11836080520826306
671005464,12304147,0.48892284069104774
672181282,671005464,0.11568406543900397
672181282,321078611,0.023930270460172296
672181282,12304147,0.47841366239789196
12304147,671005464,0.48892284069104774
12304147,672181282,0.47841366239789196
12304147,21084586,0.43548442849963254
21084586,12304155,0.36525472756815924
21084586,12304147,0.43548442849963254
12304155,672181280,0.2633780867871492
12304155,21084586,0.36525472756815924
12304155,87789115,0.4701274692288901
87789115,672181280,0.4017806940692053
87789115,12304155,0.4701274692288901
87789115,742156412,0.06691975961160174
87789115,46613999,0.28030478948921633
671005429,12304566,0.2578503778525003
12304566,86576893,0.3218656533408664
12304566,86576885,0.3220210560629989
12304566,671005429,0.2578503778525003
86576893,671005424,0.01116230829715217
86576893,86576885,0.0029191496295764806
86576893,12304566,0.3218656533408664
86576885,139456786,0.013455186385928025
86576885,86576893,0.0029191496295764806
86576885,12304566,0.3220210560629989
86576888,86576889,0.4318677286048407
86576888,671005427,0.009861673693603091
86576888,12304582,0.003006164621986581
86576889,86576888,0.4318677286048407
86576889,20006064,0.4591181209102021
86576889,12304582,0.4314401557138795
12304582,86576888,0.003006164621986581
12304582,86576889,0.4314401557138795
12304582,86576891,0.011983796099179041
86576891,139456818,0.009622651446523864
86576891,12304582,0.011983796099179041
12305577,742401345,0.025737597605238974
12305577,21085923,0.18114516228849
12305577,654361141,0.02669978910079253
12305577,671005422,0.055293818747086165
21085923,12305577,0.18114516228849
21085923,609462572,0.16334180117707253
21085923,671005422,0.23553586015459557
21085923,769249521,0.17273288462372013
21085923,769249522,0.17759841128814333
21085923,132015985,0.2438948610174838
21085923,654361141,0.18562629444743614
654361141,21085923,0.18562629444743614
654361141,12305577,0.02669978910079253
654361141,671005417,0.1393828977162362
654361141,671005421,0.056141515836366514
654361141,671005422,0.053751244303404624
742401345,769249520,0.004169833278138712
742401345,12305577,0.025737597605238974
742401345,654361142,0.04287250609664459
93821073,12307573,0.07698674072602789
12307573,93821073,0.07698674072602789
12307573,97825354,0.03240878080103063
12307573,83672326,0.06738917504537534
97825354,87645862,0.1173823420732787
97825354,12307573,0.03240878080103063
97825354,83672326,0.06368534700721347
83672326,97825354,0.06368534700721347
83672326,83672325,0.08438469209833797
83672326,12307573,0.06738917504537534
95186218,139631888,0.15504625806112907
95186218,12308575,0.06803498072219315
12308575,95186218,0.06803498072219315
12308575,480223981,0.0524093368681246
480223981,95186193,0.4169283061924156
480223981,12308575,0.0524093368681246
12308786,805421298,0.06166144529409079
12308786,805421299,0.3302430717251763
12308786,672127462,0.10464095628632898
672127462,156962305,0.23949953278230404
672127462,12308786,0.10464095628632898
672127462,805421298,0.10182981952211655
672127462,672127463,0.20378952350370824
805421299,12308786,0.3302430717251763
805421299,672127451,0.3501122779478798
805421299,672127452,0.3511418506213906
767466281,672127457,0.18290487636325015
767466281,12311682,0.2398629471936211
767466281,12312375,0.2758750484927152
12311682,767466281,0.2398629471936211
12311682,742856252,0.3310701951873159
12311682,12312375,0.3048936311997272
12312375,43960905,0.3592565393004486
12312375,767466281,0.2758750484927152
12312375,12311682,0.3048936311997272
742856252,12311682,0.3310701951873159
742856252,113651135,0.171937273757653
43960905,43960906,0.10374395777076148
43960905,12312375,0.3592565393004486
647242450,671005493,0.08881997401589617
647242450,12316453,0.0751290739016419
20006064,86576889,0.4591181209102021
20006064,672181293,0.12942488863954132
231290326,672181299,0.5339392317009682
231290326,20007207,0.3251272110537533
20007207,231290326,0.3251272110537533
20007207,86576855,0.13282858541850034
86576855,86576854,0.09311419504413958
86576855,20007207,0.13282858541850034
20007209,20007210,0.08304746845203928
20007209,86576854,0.08146594339845281
86576854,20007209,0.08146594339845281
86576854,86576855,0.09311419504413958
20007210,86576856,0.09557645163086528
20007210,20007209,0.08304746845203928
86576856,86576857,0.09479225635173193
86576856,20007210,0.09557645163086528
20007617,359424152,0.07978124027156513
20007617,86576847,0.15744971177636977
86576847,20007617,0.15744971177636977
86576847,86576849,0.27347608445567445
359424152,20007617,0.07978124027156513
359424152,86576850,0.07749278570813051
21083891,139644907,0.42988072996949506
27420798,672127457,0.1472660456199597
27420798,139260130,0.058800282593548775
27420798,27420802,0.11927600845857954
27420802,27420803,0.027480057251477303
27420802,27420798,0.11927600845857954
480415215,480415216,0.04299729316247333
480415215,742169020,0.46293868507321234
480415215,27420799,0.03407992461894665
742169020,480415215,0.46293868507321234
742169020,742169021,0.2682489715719224
742169020,27420799,0.4969382088147754
27420799,742169020,0.4969382088147754
27420799,480415213,0.04356635555533129
27420799,480415215,0.03407992461894665
480415213,480415212,0.036996212676379585
480415213,27420799,0.04356635555533129
27420800,27420801,0.07205849763242464
27420800,139260130,0.10808939281911976
27420800,668988421,0.05191601952615759
27420801,27420800,0.07205849763242464
27420801,480415212,0.056206100834574994
668988421,27420800,0.05191601952615759
668988421,27490449,0.19407632078154533
668988421,139260130,0.0926184187041524
480415212,27420801,0.056206100834574994
480415212,480415213,0.036996212676379585
123416121,123416120,0.016278163163753787
123416121,27432211,0.08036951758892388
123416121,123416135,0.006442340334630381
27432211,123416121,0.08036951758892388
27432211,178088581,0.19739976269805265
27432211,123416135,0.07809698700683566
123416135,123416121,0.006442340334630381
123416135,27432211,0.07809698700683566
123416135,672127471,0.010050299691749897
178088581,91365842,0.17250231577457245
178088581,27432211,0.19739976269805265
178088581,91365847,0.17254298149728742
672127455,48658996,0.2371733206774698
672127455,27904429,0.2232467953393931
672127455,671005502,0.16512933696347143
672127455,671005503,0.06687944455969606
27904429,672127455,0.2232467953393931
27904429,711370582,0.248809941131174
27904429,671005503,0.1566013607293158
671005503,27904432,0.05554586386950593
671005503,123416125,0.2151690417257247
671005503,27904429,0.1566013607293158
671005503,672127455,0.06687944455969606
711370582,711370581,0.21933773784538924
711370582,27904429,0.248809941131174
113513082,672127456,0.058404771352997466
113513082,240534098,0.022429648333436237
113513082,27904430,0.06563759010296906
113513082,240534095,0.020332562885731112
240534098,85621189,0.005464375948420766
240534098,27904430,0.08769750433716901
240534098,240534095,0.005446683242649417
240534098,113513082,0.022429648333436237
240534098,46614138,0.02163951448243461
27904430,671005504,0.09330614329239728
27904430,240534095,0.08443508818103657
27904430,240534098,0.08769750433716901
27904430,46614137,0.019999223369555407
27904430,113513082,0.06563759010296906
671005504,85621184,0.021111567143649257
671005504,46614137,0.07427989422477291
671005504,123416125,0.450082221880118
671005504,27904430,0.09330614329239728
46614137,671005504,0.07427989422477291
46614137,48658996,0.5595251647798883
46614137,27904430,0.019999223369555407
46614137,672127456,0.027801206094299744
27904432,85621172,0.041048680423979494
27904432,123416125,0.24536027318001
27904432,48658996,0.2121052102196604
27904432,671005503,0.05554586386950593
123416125,27904432,0.24536027318001
123416125,85621184,0.442871697933784
123416125,671005504,0.450082221880118
123416125,671005503,0.2151690417257247
85621172,27904432,0.041048680423979494
85621172,48658996,0.23359757930188885
85621172,671005501,0.13048859014970582
85621172,240534094,0.4274347635856976
48658996,672127456,0.5785673912639977
48658996,27904432,0.2121052102196604
48658996,85621172,0.23359757930188885
48658996,46614137,0.5595251647798883
48658996,671005502,0.3928546252101141
48658996,672127455,0.2371733206774698
236835413,123464952,0.1182359391402161
236835413,28221473,0.10391664264635209
236835413,747507846,0.22530916986716842
236835413,742156398,0.22454111100672314
742156398,123464952,0.3405076356419623
742156398,28221473,0.3246000363245145
742156398,742156397,0.21440811010105956
742156398,236835413,0.22454111100672314
671005498,28221480,0.12974610515920024
671005498,105911553,0.4575849718863825
671005498,95458347,0.1413650712232862
46613951,33774130,0.11345990170432277
46613951,46613950,0.05767386070871242
46613952,33774131,0.059146194579536064
46613952,46613957,0.06607062825072273
33774214,33774215,0.05919751049155658
33774214,86576863,0.23433685004134946
86576863,117016528,0.46574862871397105
86576863,33774214,0.23433685004134946
33774215,33774214,0.05919751049155658
33774215,665663815,0.038330066205755256
665663815,86576858,0.09941652416384864
665663815,33774215,0.038330066205755256
33800796,33800797,0.3328614278885641
33800796,86576862,0.34019169664839677
33800797,86576859,0.07189450379491234
33800797,33800796,0.3328614278885641
86576862,117016523,0.11441994211990208
86576862,33800796,0.34019169664839677
86576859,161931379,0.09958148265681899
86576859,33800797,0.07189450379491234
34080817,86775190,0.12580120712253068
34080817,124370031,0.3932497515695809
